股票代號,名稱,成交量,成交金額,開盤價,最高價,最低價,收盤價,漲跌價,成交筆數,RSI,KD,MACD,SMA,Momentum,籌碼集中度
00929,復華台灣科技優息,78020028,0,0.00,0.00,0.00,19.88,0.00,0,7802.00,1.99,14.88,14.94,20.28,78020.03
00930,永豐ESG低碳高息,4402243,0,0.00,0.00,0.00,18.24,0.00,0,440.22,1.82,13.24,14.12,18.60,4402.24
00932,兆豐永續高息等權,1919219,0,0.00,0.00,0.00,15.24,0.00,0,191.92,1.52,10.24,12.62,15.54,1919.22
00934,中信成長高股息,2387368,0,0.00,0.00,0.00,22.48,0.00,0,238.74,2.25,17.48,16.24,22.93,2387.37
00935,野村臺灣新科技50,22743636,0,0.00,0.00,0.00,35.41,0.00,0,2274.36,3.54,30.41,22.70,36.12,22743.64
00936,台新永續高息中小,3751625,0,0.00,0.00,0.00,17.57,0.00,0,375.16,1.76,12.57,13.79,17.92,3751.62
00938,凱基優選30,1596766,0,0.00,0.00,0.00,18.47,0.00,0,159.68,1.85,13.47,14.23,18.84,1596.77
00939,統一台灣高息動能,15205936,0,0.00,0.00,0.00,15.56,0.00,0,1520.59,1.56,10.56,12.78,15.87,15205.94
00940,元大台灣價值高息,73750481,0,0.00,0.00,0.00,9.74,0.00,0,7375.05,0.97,4.74,9.87,9.93,73750.48
00941,中信上游半導體,1551467,0,0.00,0.00,0.00,20.26,0.00,0,155.15,2.03,15.26,15.13,20.67,1551.47
00943,兆豐電子高息等權,723368,0,0.00,0.00,0.00,15.16,0.00,0,72.34,1.52,10.16,12.58,15.46,723.37
00944,野村趨勢動能高息,1865093,0,0.00,0.00,0.00,15.13,0.00,0,186.51,1.51,10.13,12.57,15.43,1865.09
00945B,凱基美國非投等債,9458819,0,0.00,0.00,0.00,14.50,0.00,0,945.88,1.45,9.50,12.25,14.79,9458.82
00946,群益科技高息成長,11339876,0,0.00,0.00,0.00,10.37,0.00,0,1133.99,1.04,5.37,10.18,10.58,11339.88
00947,台新臺灣IC設計,14983058,0,0.00,0.00,0.00,22.94,0.00,0,1498.31,2.29,17.94,16.47,23.40,14983.06
00949,復華日本龍頭,1009533,0,0.00,0.00,0.00,18.94,0.00,0,100.95,1.89,13.94,14.47,19.32,1009.53
00951,台新日本半導體,2161686,0,0.00,0.00,0.00,13.48,0.00,0,216.17,1.35,8.48,11.74,13.75,2161.69
00952,凱基台灣AI50,2744019,0,0.00,0.00,0.00,12.78,0.00,0,274.40,1.28,7.78,11.39,13.04,2744.02
00953B,群益優選非投等債,57369654,0,0.00,0.00,0.00,9.74,0.00,0,5736.97,0.97,4.74,9.87,9.93,57369.65
00954,中信日本半導體,2308624,0,0.00,0.00,0.00,14.46,0.00,0,230.86,1.45,9.46,12.23,14.75,2308.62
00956,中信日經高股息,477469,0,0.00,0.00,0.00,11.86,0.00,0,47.75,1.19,6.86,10.93,12.10,477.47
00960,野村全球航運龍頭,488317,0,0.00,0.00,0.00,14.93,0.00,0,48.83,1.49,9.93,12.46,15.23,488.32
00961,FT臺灣永續高息,1508960,0,0.00,0.00,0.00,10.20,0.00,0,150.90,1.02,5.20,10.10,10.40,1508.96
00962,台新AI優息動能,350408,0,0.00,0.00,0.00,11.36,0.00,0,35.04,1.14,6.36,10.68,11.59,350.41
00963,中信全球高股息,883533,0,0.00,0.00,0.00,11.91,0.00,0,88.35,1.19,6.91,10.96,12.15,883.53
00964,中信亞太高股息,905928,0,0.00,0.00,0.00,12.49,0.00,0,90.59,1.25,7.49,11.25,12.74,905.93
00965,元大航太防衛科技,3891058,0,0.00,0.00,0.00,25.41,0.00,0,389.11,2.54,20.41,17.70,25.92,3891.06
00971,野村美國研發龍頭,691698,0,0.00,0.00,0.00,15.79,0.00,0,69.17,1.58,10.79,12.89,16.11,691.70
00972,野村日本動能高息,779506,0,0.00,0.00,0.00,18.87,0.00,0,77.95,1.89,13.87,14.44,19.25,779.51
009800,中信NASDAQ,2519027,0,0.00,0.00,0.00,11.14,0.00,0,251.90,1.11,6.14,10.57,11.36,2519.03
009801,中信美國創新科技,1503918,0,0.00,0.00,0.00,10.86,0.00,0,150.39,1.09,5.86,10.43,11.08,1503.92
009802,富邦旗艦50,3391690,0,0.00,0.00,0.00,12.33,0.00,0,339.17,1.23,7.33,11.16,12.58,3391.69
009803,保德信市值動能50,1207915,0,0.00,0.00,0.00,14.47,0.00,0,120.79,1.45,9.47,12.23,14.76,1207.91
009804,聯邦台精彩50,880741,0,0.00,0.00,0.00,16.01,0.00,0,88.07,1.60,11.01,13.01,16.33,880.74
009805,新光美國電力基建,24687399,0,0.00,0.00,0.00,13.02,0.00,0,2468.74,1.30,8.02,11.51,13.28,24687.40
009808,華南永昌優選50,1205521,0,0.00,0.00,0.00,21.65,0.00,0,120.55,2.17,16.65,15.82,22.08,1205.52
009809,富邦淨零ESG50,457409,0,0.00,0.00,0.00,11.84,0.00,0,45.74,1.18,6.84,10.92,12.08,457.41
00980A,主動野村臺灣優選,8155180,0,0.00,0.00,0.00,16.01,0.00,0,815.52,1.60,11.01,13.01,16.33,8155.18
009810,保德信全球藍籌,655330,0,0.00,0.00,0.00,18.57,0.00,0,65.53,1.86,13.57,14.29,18.94,655.33
009811,統一美國50,5553301,0,0.00,0.00,0.00,11.57,0.00,0,555.33,1.16,6.57,10.79,11.80,5553.30
009812,野村日本東證,2961720,0,0.00,0.00,0.00,11.27,0.00,0,296.17,1.13,6.27,10.63,11.50,2961.72
009813,貝萊德標普卓越50,8429103,0,0.00,0.00,0.00,10.39,0.00,0,842.91,1.04,5.39,10.20,10.60,8429.10
00981A,主動統一台股增長,94657386,0,0.00,0.00,0.00,17.67,0.00,0,9465.74,1.77,12.67,13.84,18.02,94657.39
00981T,平衡凱基雙核收息,2527444,0,0.00,0.00,0.00,11.03,0.00,0,252.74,1.10,6.03,10.52,11.25,2527.44
00982A,主動群益台灣強棒,25903091,0,0.00,0.00,0.00,15.29,0.00,0,2590.31,1.53,10.29,12.64,15.60,25903.09
00982D,主動富邦動態入息,3342119,0,0.00,0.00,0.00,10.13,0.00,0,334.21,1.01,5.13,10.07,10.33,3342.12
00982T,平衡兆豐台美動能,7796807,0,0.00,0.00,0.00,11.05,0.00,0,779.68,1.10,6.05,10.53,11.27,7796.81
00983A,主動中信ARK創新,7061740,0,0.00,0.00,0.00,11.99,0.00,0,706.17,1.20,6.99,11.00,12.23,7061.74
00983D,主動富邦複合收益,1833802,0,0.00,0.00,0.00,10.23,0.00,0,183.38,1.02,5.23,10.12,10.43,1833.80
00984A,主動安聯台灣高息,10607328,0,0.00,0.00,0.00,11.98,0.00,0,1060.73,1.20,6.98,10.99,12.22,10607.33
00985A,主動野村台灣50,7317114,0,0.00,0.00,0.00,14.78,0.00,0,731.71,1.48,9.78,12.39,15.08,7317.11
00985B,群益ESG投等債0-5,12083998,0,0.00,0.00,0.00,10.28,0.00,0,1208.40,1.03,5.28,10.14,10.49,12084.00
00986A,主動台新龍頭成長,939783,0,0.00,0.00,0.00,11.65,0.00,0,93.98,1.17,6.65,10.82,11.88,939.78
00987A,主動台新優勢成長,6252175,0,0.00,0.00,0.00,9.91,0.00,0,625.22,0.99,4.91,9.96,10.11,6252.18
00988A,主動統一全球創新,18605668,0,0.00,0.00,0.00,11.20,0.00,0,1860.57,1.12,6.20,10.60,11.42,18605.67
00989A,主動摩根美國科技,2731550,0,0.00,0.00,0.00,14.97,0.00,0,273.15,1.50,9.97,12.48,15.27,2731.55
00990A,主動元大AI新經濟,49397265,0,0.00,0.00,0.00,10.80,0.00,0,4939.73,1.08,5.80,10.40,11.02,49397.26
00991A,主動復華未來50,45044148,0,0.00,0.00,0.00,11.42,0.00,0,4504.41,1.14,6.42,10.71,11.65,45044.15
